수학1(1),정보과학1(1),물리학및실험1(1),화학및실험1(1),생물학및실험1(1),국어1(1),한국사의이해1(1),영어1(1),음악(1),미술(1),체육1(1),수학2(1),미적분학1(2),고급미적분학1(2),수학적문제해결기법(2),기초정수론(2),정보과학3(2),데이터구조및알고리즘1(2),탐구물리(2),기초물리학(2),일반물리학1(2),일반물리학1(EC)(2),일반물리학실험1(2),천체관측의기초(2),지구환경과학(2),일반천문학(2),일반지구과학(2),일반지구과학실험(2),생활속의화학(2),일반화학1(2),일반화학실험1(2),일반생물학1(2),일반생물학1(EC)(2),일반생물학실험(2),감염과면역(2),문학(2),세계사의이해(2),철학산책(2),정치와경제(2),영어청해와회화(2),영어독해와작문(2),English Communication(2),체육3(2),생활음악(2),생활미술(2),법과학(2),과학의역사와철학(2),미적분학2(3),미적분학3(3),고급미적분학3(3),선형대수(3),미분방정식(3),확률및통계(3),수학특강(3),이산구조(3),일반물리학2(EC)(3),일반물리학실험2(3),현대물리학개론(3),물리학특강(기초역학)(3),물리학특강(레이저의이해와응용)(3),우주과학및실습(3),일반화학2(3),일반화학실험2(3),화학과에너지(3),기초유기화학(3),나노화학의입문(3),분자생물학(3),세포생물학(3),생물학특강(인간생물학)(3),화법(3),철학(3),정치경제학(3),문화경제지리(3),고급영어회화(3),고급영어독해(3),영어특강(ACP)(3),일반천문학실험(2),객체지향프로그래밍(3),기초수학(1),물리학및실험Ⅰ(1),화학및실험Ⅰ(1),한국어Ⅰ(1),세계사1(1),생물학및실험Ⅰ(2),한국어Ⅲ(2),한국사1(2)
1,1,1,1,1,1,1,1,1,1,1,1,6,2,2,2,2,2,1,1,1,2,3,3,3,2,3,3,1,3,3,1,2,2,1,4,4,4,4,4,4,1,9,1,5,2,4,1,7,2,1,2,3,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,6,3,1,5,4,4,1,2,2,1,1,1,1,1,1,1,1
2,9,3,0,0,0,0,0,0,0,0,9,105,36,30,22,33,27,8,16,11,35,43,40,37,24,45,45,18,41,41,6,21,27,10,68,68,68,68,72,64,9,149,16,73,31,69,8,115,26,10,32,37,10,9,21,21,8,7,16,6,13,13,14,7,21,8,13,8,93,40,9,88,70,67,6,24,26,0,0,0,0,0,9,9,9
3R1,0R1,2R1,2R1,2R1,3,2,3,0R1,0R1,1,3R1,3R1,3R1,3,3,3,3,1R1,3,2R1,2R1,0R1,3,3,3,3,0R1,1R1,2R1,0R1,2R1,2R1,0R1,3,3,3,3,3,3,3,3,1,0R1,0R1,2,3,2R1,2R1,2R1,3,3,3,3,3,2R1,0R1,3,3,3,3,2R1,0R1,3,3,3,3,3,3,3,3,3,3,2,2,2,0R1,1R1,3R1,3R1,3R1,2R1,2,3R1,2R1,2
